review,score,cleaning,baku,slang_replaced
This is my favorite gum.  It holds it flavor.,5,this is my favorite gum   it holds it flavor ,this is my favorite gum it holds it flavor,[]
The gum is extremely stale! Not sure where it has been stored. Not happy!,1,the gum is extremely stale  not sure where it has been stored  not happy ,the gum is extremely stale not sure where it has been stored not happy,[]
"Gum was hard as a rock and stale, broke into pieces when your tried to chew it.",2,gum was hard as a rock and stale  broke into pieces when your tried to chew it ,gum was hard as a rock and stale broke into pieces when your tried to chew it,[]
"I Purchased, big red showing on all the time! Amazon runs very good deals on this product! I highly recommend!",5,i purchased  big red showing on all the time  amazon runs very good deals on this product  i highly recommend ,i purchased big red showing on all the time amazon runs very good deals on this product i highly recommend,[]
It came fresh and as expected!,5,it came fresh and as expected ,it came fresh and as expected,[]
cool,5,cool,cool,[]
"In the mid-80s, this was my go-to gum in h.s.: I was quiet & tended to get a nasty taste in my mouth from not talking. The flavor lasted from home room until lunchtime (~5 hrs). The gum itself was small enough to tuck between my rear upper teeth & cheek for singing in choir, talking to teachers or kissing in the hallway!!!I was pleasantly surprised to find the flavor still lasts as long (although I havenâ€™t timed it) & works well to relieve my dry mouth (better than â€œdry mouthâ€ gums).I just wish I could find it locally & that they made a sugarless version (Iâ€™m in my mid-50s now)â€”although that would probably ruin a perfectly good gum.",5,in the mid s  this was my go to gum in h s   i was quiet   tended to get a nasty taste in my mouth from not talking  the flavor lasted from home room until lunchtime    hrs   the gum itself was small enough to tuck between my rear upper teeth   cheek for singing in choir  talking to teachers or kissing in the hallway   i was pleasantly surprised to find the flavor still lasts as long  although i haven   t timed it    works well to relieve my dry mouth  better than    dry mouth    gums  i just wish i could find it locally   that they made a sugarless version  i   m in my mid s now    although that would probably ruin a perfectly good gum ,in the mid s this was my go to gum in h s i was quiet tended to get a nasty taste in my mouth from not talking the flavor lasted from home room until lunchtime hrs the gum itself was small enough to tuck between my rear upper teeth cheek for singing in choir talking to teachers or kissing in the hallway i was pleasantly surprised to find the flavor still lasts as long although i haven t timed it works well to relieve my dry mouth better than dry mouth gums i just wish i could find it locally that they made a sugarless version i m in my mid s now although that would probably ruin a perfectly good gum,[]
"I haven't had this gun since I was a child, when I would still some out of my grandma's purse. It still tastes the same, still brings back those childhood memories. I'll be getting it again.",5,i haven t had this gun since i was a child  when i would still some out of my grandma s purse  it still tastes the same  still brings back those childhood memories  i ll be getting it again ,i haven t had this gun since i was a child when i would still some out of my grandma s purse it still tastes the same still brings back those childhood memories i ll be getting it again,[]
Good value hard to find here for some reason I guess.,4,good value hard to find here for some reason i guess ,good value hard to find here for some reason i guess,[]
This flavor takes me right back to being a kid chewing this gum in the back of a pickup truck with no seatbelts. The flavor lasts longer than it has any right to. It tastes exactly like you remember.,5,this flavor takes me right back to being a kid chewing this gum in the back of a pickup truck with no seatbelts  the flavor lasts longer than it has any right to  it tastes exactly like you remember ,this flavor takes me right back to being a kid chewing this gum in the back of a pickup truck with no seatbelts the flavor lasts longer than it has any right to it tastes exactly like you remember,[]
Not a lot of chips in bag. You l should use two.,4,not a lot of chips in bag  you l should use two ,not a lot of chips in bag you l should use two,[]
Very delicious but first time i ordered bull and I was disappointed that 2 of the packages were just crumbs full of air when we opened them.,3,very delicious but first time i ordered bull and i was disappointed that  of the packages were just crumbs full of air when we opened them ,very delicious but first time i ordered bull and i was disappointed that of the packages were just crumbs full of air when we opened them,[]
Love the crunch and taste.,4,love the crunch and taste ,love the crunch and taste,[]
Expensive for the amount of product in bags. Apple and Coconut are tasty but the Bananna was disappointly teeth cracking hard. The apple chips were broken into tiny pieces,2,expensive for the amount of product in bags  apple and coconut are tasty but the bananna was disappointly teeth cracking hard  the apple chips were broken into tiny pieces,expensive for the amount of product in bags apple and coconut are tasty but the bananna was disappointly teeth cracking hard the apple chips were broken into tiny pieces,[]
Excellent taste! Great crunch! Great alternative for snacking on chips.,5,excellent taste  great crunch  great alternative for snacking on chips ,excellent taste great crunch great alternative for snacking on chips,[]
"4 OF THE BAGS HAD 3 AND 4 LITTLE PEACES IN THEM , NOT WORTH THE $$$ EMPTY BAGS  THANKS",2, of the bags had  and  little peaces in them   not worth the     empty bags  thanks,of the bags had and little peaces in them not worth the empty bags thanks,[]
One bag has more than 30grams of sugar! I made a mistake by not reading the label. Not â€œbareâ€ after all!,1,one bag has more than grams of sugar  i made a mistake by not reading the label  not    bare    after all ,one bag has more than grams of sugar i made a mistake by not reading the label not bare after all,[]
These are much better for me than cookies,5,these are much better for me than cookies,these are much better for me than cookies,[]
Apple chips taste stale. Better off making your own at home or finding another kind.,2,apple chips taste stale  better off making your own at home or finding another kind ,apple chips taste stale better off making your own at home or finding another kind,[]
Amazing snack and my friend gave it me during the military field. I couldn't forget the taste and now I found it in Amazon. Lol,5,amazing snack and my friend gave it me during the military field  i couldn t forget the taste and now i found it in amazon  lol,amazing snack and my friend gave it me during the military field i couldn t forget the taste and now i found it in amazon laughing out loud,['lol']
"I definitely love the strawberry candy. But mine came damage, which got sugar all over. I hate the box less shipping.",4,i definitely love the strawberry candy  but mine came damage  which got sugar all over  i hate the box less shipping ,i definitely love the strawberry candy but mine came damage which got sugar all over i hate the box less shipping,[]
I bought it to share among my friends at school. Everyone enjoyed it . I love how it properly closed so it never spilled any sugar in my bag. The only problem is that the spoon gets lost under the candy but who cares about that,5,i bought it to share among my friends at school  everyone enjoyed it   i love how it properly closed so it never spilled any sugar in my bag  the only problem is that the spoon gets lost under the candy but who cares about that,i bought it to share among my friends at school everyone enjoyed it i love how it properly closed so it never spilled any sugar in my bag the only problem is that the spoon gets lost under the candy but who cares about that,[]
These are great for a party table or if you want them for yourself. It will last you quite a while. They were so good and everyone loved them !,5,these are great for a party table or if you want them for yourself  it will last you quite a while  they were so good and everyone loved them  ,these are great for a party table or if you want them for yourself it will last you quite a while they were so good and everyone loved them,[]
Same taste,5,same taste,same taste,[]
"Candy was hard, and broken on the corner and the top",1,candy was hard  and broken on the corner and the top,candy was hard and broken on the corner and the top,[]
Bussin bussin,5,bussin bussin,bussin bussin,[]
"It was open, broken and hard.",2,it was open  broken and hard ,it was open broken and hard,[]
I used to love these sour belts as a kid. They donâ€™t disappoint. Full of sour-y goodness and worth every cent.,5,i used to love these sour belts as a kid  they don   t disappoint  full of sour y goodness and worth every cent ,i used to love these sour belts as a kid they don t disappoint full of sour y goodness and worth every cent,[]
"These are great sour belts! Flavor and sourness is definitely there. I will say the batch we got is quite tough to chew though. It isn't a dealbreaker, but just something to keep in mind.",5,these are great sour belts  flavor and sourness is definitely there  i will say the batch we got is quite tough to chew though  it isn t a dealbreaker  but just something to keep in mind ,these are great sour belts flavor and sourness is definitely there i will say the batch we got is quite tough to chew though it isn t a dealbreaker but just something to keep in mind,[]
"Box is a little hard to open in general, but they came fresh and taste so good. Only problem is my teeth may not be happy from my snacking on them so often lol. But if u are looking for the classic sour strawberry belt flavor, these are great.",5,box is a little hard to open in general  but they came fresh and taste so good  only problem is my teeth may not be happy from my snacking on them so often lol  but if u are looking for the classic sour strawberry belt flavor  these are great ,box is a little hard to open in general but they came fresh and taste so good only problem is my teeth may not be happy from my snacking on them so often laughing out loud but if you are looking for the classic sour strawberry belt flavor these are great,"['lol', 'u']"
The freshness & flavors are out. I had to eat a 2nd one.,5,the freshness   flavors are out  i had to eat a nd one ,the freshness flavors are out i had to eat a nd one,[]
I really like that it wasnâ€™t squished box and fresh.,5,i really like that it wasn   t squished box and fresh ,i really like that it wasn t squished box and fresh,[]
"I didn't expect to like these as much as I do. They are REALLY good. I like the blueberry and vanilla bars, too. :)",5,i didn t expect to like these as much as i do  they are really good  i like the blueberry and vanilla bars  too    ,i didn t expect to like these as much as i do they are really good i like the blueberry and vanilla bars too,[]
"Looks like Iâ€™m going to have to give up one of my favorite snacks. Iâ€™ve discovered that these cause bad gas. This flavor is the worst. Also the caramel.The one that causes the least gas is the dark chocolate almond.Itâ€™s disappointing. Neither nuts or cranberries give me gas, so it must be something else.The last box I got was really lacking in cranberry pieces, too.",3,looks like i   m going to have to give up one of my favorite snacks  i   ve discovered that these cause bad gas  this flavor is the worst  also the caramel the one that causes the least gas is the dark chocolate almond it   s disappointing  neither nuts or cranberries give me gas  so it must be something else the last box i got was really lacking in cranberry pieces  too ,looks like i m going to have to give up one of my favorite snacks i ve discovered that these cause bad gas this flavor is the worst also the caramel the one that causes the least gas is the dark chocolate almond it s disappointing neither nuts or cranberries give me gas so it must be something else the last box i got was really lacking in cranberry pieces too,[]
Love these KIND Bars. Tasty and Healthy.  Good value for the money. Arrive Quickly.,5,love these kind bars  tasty and healthy   good value for the money  arrive quickly ,love these kind bars tasty and healthy good value for the money arrive quickly,[]
Kind makes some great stuff. This? Not so much.,3,kind makes some great stuff  this  not so much ,kind makes some great stuff this not so much,[]
It has funky smell and my kids refuse to eat.,1,it has funky smell and my kids refuse to eat ,it has funky smell and my kids refuse to eat,[]
These cranberry kind bars are delicious. I started eating kind bars 15 years ago when I began to change my diet in a quest to lose weight. Over an 18 month period and 2 kind bars a day combined with a healthy diet I lost 160 pounds. I still eat 2 bars per day.,5,these cranberry kind bars are delicious  i started eating kind bars  years ago when i began to change my diet in a quest to lose weight  over an  month period and  kind bars a day combined with a healthy diet i lost  pounds  i still eat  bars per day ,these cranberry kind bars are delicious i started eating kind bars years ago when i began to change my diet in a quest to lose weight over an month period and kind bars a day combined with a healthy diet i lost pounds i still eat bars per day,[]
"Want a yummy alternative to granola?  I crumble this bar on top of my morning oatmeal or greek yogurt.  It adds the perfect amount of sweetness and satisfying crunch, in addition to a nice hit of protein.  Highly recommend!",4,want a yummy alternative to granola   i crumble this bar on top of my morning oatmeal or greek yogurt   it adds the perfect amount of sweetness and satisfying crunch  in addition to a nice hit of protein   highly recommend ,want a yummy alternative to granola i crumble this bar on top of my morning oatmeal or greek yogurt it adds the perfect amount of sweetness and satisfying crunch in addition to a nice hit of protein highly recommend,[]
Sabor incomparable. Realmente buenas barras.,5,sabor incomparable  realmente buenas barras ,sabor incomparable realmente buenas barras,[]
Good butter popcorn.,4,good butter popcorn ,good butter popcorn,[]
I see people whining about not popping or taste . Must be nuts!!  Great popcorn . Orville rules like funyuns . Ask Jessie from bb.,5,i see people whining about not popping or taste   must be nuts    great popcorn   orville rules like funyuns   ask jessie from bb ,i see people whining about not popping or taste must be nuts great popcorn orville rules like funyuns ask jessie from bb,[]
Just tried this and it is a much better popcorn than the other brands. With the other brands I get a lot of the corn husks stuck in my teeth. Orville popcorn the husks are smaller and less of them  bye bye other brands,5,just tried this and it is a much better popcorn than the other brands  with the other brands i get a lot of the corn husks stuck in my teeth  orville popcorn the husks are smaller and less of them  bye bye other brands,just tried this and it is a much better popcorn than the other brands with the other brands i get a lot of the corn husks stuck in my teeth orville popcorn the husks are smaller and less of them bye bye other brands,[]
"I was shocked to learn how much sodium is in one bag.There's 2.5 servings per bag.Each serving has 360 mg, it's 800 mg of salt per bag!I loved popcorn ðŸ¿, this has really turned me off of it.Orville Redenbacher was the best, and now, OMG! WAY TOO MUCH SALT!It's a heart attack in a bag! If I could send it back. I would. I opened a box, and the product was horrible!Buyer beware.",1,i was shocked to learn how much sodium is in one bag there s   servings per bag each serving has  mg  it s  mg of salt per bag i loved popcorn       this has really turned me off of it orville redenbacher was the best  and now  omg  way too much salt it s a heart attack in a bag  if i could send it back  i would  i opened a box  and the product was horrible buyer beware ,i was shocked to learn how much sodium is in one bag there s servings per bag each serving has mg it s mg of salt per bag i loved popcorn this has really turned me off of it orville redenbacher was the best and now oh my god way too much salt it s a heart attack in a bag if i could send it back i would i opened a box and the product was horrible buyer beware,['omg']
I didnâ€™t think I was ordering so much popcorn but it is ok I gave some to friends,5,i didn   t think i was ordering so much popcorn but it is ok i gave some to friends,i didn t think i was ordering so much popcorn but it is okay i gave some to friends,['ok']
It is not like movie theater popcorn it would need more butter and a fluffy a pop but in the microwave this is probably the best they could do I would recommend a popcorn machine and regular popcorn the only thing is it takes so long to clean the machine up afterwards otherwise I would never purchased microwave popcorn,4,it is not like movie theater popcorn it would need more butter and a fluffy a pop but in the microwave this is probably the best they could do i would recommend a popcorn machine and regular popcorn the only thing is it takes so long to clean the machine up afterwards otherwise i would never purchased microwave popcorn,it is not like movie theater popcorn it would need more butter and a fluffy a pop but in the microwave this is probably the best they could do i would recommend a popcorn machine and regular popcorn the only thing is it takes so long to clean the machine up afterwards otherwise i would never purchased microwave popcorn,[]
above the rest,5,above the rest,above the rest,[]
Liked tastes great depending on your microwave oven donâ€™t use the popcorn button use how to pop on the bag,5,liked tastes great depending on your microwave oven don   t use the popcorn button use how to pop on the bag,liked tastes great depending on your microwave oven don t use the popcorn button use how to pop on the bag,[]
Perfect snack to eat while watching movies,5,perfect snack to eat while watching movies,perfect snack to eat while watching movies,[]
Sent in care package for out troops,5,sent in care package for out troops,sent in care package for out troops,[]
"My favorite brand of jaw breakers! None of them were broken, and there was a large amount in the bag!",5,my favorite brand of jaw breakers  none of them were broken  and there was a large amount in the bag ,my favorite brand of jaw breakers none of them were broken and there was a large amount in the bag,[]
I think I am addicted to sugar and these are delicious.  I eat them every day.  The bulk process went smoothly and you get a good amount.,5,i think i am addicted to sugar and these are delicious   i eat them every day   the bulk process went smoothly and you get a good amount ,i think i am addicted to sugar and these are delicious i eat them every day the bulk process went smoothly and you get a good amount,[]
Long lasting,4,long lasting,long lasting,[]
Good value,5,good value,good value,[]
These are the jawbreaker candies of my youth and the flavor and price are top notch.,5,these are the jawbreaker candies of my youth and the flavor and price are top notch ,these are the jawbreaker candies of my youth and the flavor and price are top notch,[]
"Same taste, same yumminess ~ just buy them because you know you want them ðŸ¥°",5,same taste  same yumminess   just buy them because you know you want them     ,same taste same yumminess just buy them because you know you want them,[]
I wish you could order the specific flavors you like best,5,i wish you could order the specific flavors you like best,i wish you could order the specific flavors you like best,[]
"I was so excited to find these on Amazon! I waited 2 days for them . I get them and bam barely any flavor and I have tried them all, not to mention quite small . Price was great product not so much",2,i was so excited to find these on amazon  i waited  days for them   i get them and bam barely any flavor and i have tried them all  not to mention quite small   price was great product not so much,i was so excited to find these on amazon i waited days for them i get them and bam barely any flavor and i have tried them all not to mention quite small price was great product not so much,[]
Good buy,4,good buy,good buy,[]
Love these things! Taste great!,5,love these things  taste great ,love these things taste great,[]
I buy these regularly now. I don't really like eating too much in the mornings. So bars gave always been my thing. I am also lactose intolerant so I'm limited to which bars I can eat. I have tried a multitude of brands. Vegan and dairy free. Some being too chalky. Others too gummy. Or dry. These are probably the best bars I've had. They are a bit higher but worth it. I also order direct from macro when they offer discounts.The flavors are pretty great. But what I appreciate most is the texture. And the consistency. It's not like a dry bready nut bar dipped in chocolate. Or a Rice Krispy feelin chocolate dipped sugary whatever bar... It's a consistently made bar. So every bite is the same. Not too dry. Not too gummy. Very well made. I'm a fan,5,i buy these regularly now  i don t really like eating too much in the mornings  so bars gave always been my thing  i am also lactose intolerant so i m limited to which bars i can eat  i have tried a multitude of brands  vegan and dairy free  some being too chalky  others too gummy  or dry  these are probably the best bars i ve had  they are a bit higher but worth it  i also order direct from macro when they offer discounts the flavors are pretty great  but what i appreciate most is the texture  and the consistency  it s not like a dry bready nut bar dipped in chocolate  or a rice krispy feelin chocolate dipped sugary whatever bar    it s a consistently made bar  so every bite is the same  not too dry  not too gummy  very well made  i m a fan,i buy these regularly now i don t really like eating too much in the mornings so bars gave always been my thing i am also lactose intolerant so i m limited to which bars i can eat i have tried a multitude of brands vegan and dairy free some being too chalky others too gummy or dry these are probably the best bars i ve had they are a bit higher but worth it i also order direct from macro when they offer discounts the flavors are pretty great but what i appreciate most is the texture and the consistency it s not like a dry bready nut bar dipped in chocolate or a rice krispy feelin chocolate dipped sugary whatever bar it s a consistently made bar so every bite is the same not too dry not too gummy very well made i m a fan,[]
"Beware, the flavors in the description are NOT the flavors you will actually receive, and since it is a food item it is not eligible for a return.  If you want 3 sunflower chocolate, 4 peanut butter, and then a few others randomly grabbed from the bin, then you will be happy.  If you want 12 different flavors including the new flavors, you might want to avoid wasting your money.",1,beware  the flavors in the description are not the flavors you will actually receive  and since it is a food item it is not eligible for a return   if you want  sunflower chocolate   peanut butter  and then a few others randomly grabbed from the bin  then you will be happy   if you want  different flavors including the new flavors  you might want to avoid wasting your money ,beware the flavors in the description are not the flavors you will actually receive and since it is a food item it is not eligible for a return if you want sunflower chocolate peanut butter and then a few others randomly grabbed from the bin then you will be happy if you want different flavors including the new flavors you might want to avoid wasting your money,[]
A healthful alternative to danishes and junk food. Tasty.,5,a healthful alternative to danishes and junk food  tasty ,a healthful alternative to danishes and junk food tasty,[]
Very tasty but didn't get me all the different flavors it described.,3,very tasty but didn t get me all the different flavors it described ,very tasty but didn t get me all the different flavors it described,[]
The flavors pictured & promised were not sent.,1,the flavors pictured   promised were not sent ,the flavors pictured promised were not sent,[]
"In December 2022, I ordered this product GoMacro Bars and YOU DELIVERED as advertised ..So THANK YOU!  :-)I recently placed an order with Amazon and ordered the GoMacro bars, not realizing that I was ordering from a DIFFERENT seller .. Bad experience  :-(Sincerely,Beverly Scarborough",5,in december   i ordered this product gomacro bars and you delivered as advertised   so thank you      i recently placed an order with amazon and ordered the gomacro bars  not realizing that i was ordering from a different seller    bad experience     sincerely beverly scarborough,in december i ordered this product gomacro bars and you delivered as advertised so thank you i recently placed an order with amazon and ordered the gomacro bars not realizing that i was ordering from a different seller bad experience sincerely beverly scarborough,[]
The variety was really good,5,the variety was really good,the variety was really good,[]
The variety is good but the deal was for 12 and I only received 10 bars. Sent message but no reply. Iâ€™ll buy these elsewhere from now on,2,the variety is good but the deal was for  and i only received  bars  sent message but no reply  i   ll buy these elsewhere from now on,the variety is good but the deal was for and i only received bars sent message but no reply i ll buy these elsewhere from now on,[]
I loved the variety pack,5,i loved the variety pack,i loved the variety pack,[]
There were only about 4 different flavors in the box & itâ€™s ineligible for return. Also wreaked of perfume. Not happy,2,there were only about  different flavors in the box   it   s ineligible for return  also wreaked of perfume  not happy,there were only about different flavors in the box it s ineligible for return also wreaked of perfume not happy,[]
"This what you would think it is. The idea may work for some people. You just bought almonds that taste like corn, something that is not near as expensive. It worked. However, I think I'll go buy some corn next time (and some almonds that taste like almonds.)",3,this what you would think it is  the idea may work for some people  you just bought almonds that taste like corn  something that is not near as expensive  it worked  however  i think i ll go buy some corn next time  and some almonds that taste like almonds  ,this what you would think it is the idea may work for some people you just bought almonds that taste like corn something that is not near as expensive it worked however i think i ll go buy some corn next time and some almonds that taste like almonds,[]
Most of the flavors are boldâ€¦ this one was just not impressive,4,most of the flavors are bold    this one was just not impressive,most of the flavors are bold this one was just not impressive,[]
Next day delivery. Good price,5,next day delivery  good price,next day delivery good price,[]
Great taste.,5,great taste ,great taste,[]
"Delicious flavor adheres to the almond. Other Flavorings are in the bottom of the container/bag of others I've tried. Corn syrup is problematic. It would be in my best interest to eliminate them from my snack options. In this instance, this is a built in discipline for me. Can't eat too many at  once.",5,delicious flavor adheres to the almond  other flavorings are in the bottom of the container bag of others i ve tried  corn syrup is problematic  it would be in my best interest to eliminate them from my snack options  in this instance  this is a built in discipline for me  can t eat too many at  once ,delicious flavor adheres to the almond other flavorings are in the bottom of the container bag of others i ve tried corn syrup is problematic it would be in my best interest to eliminate them from my snack options in this instance this is a built in discipline for me can t eat too many at once,[]
Dynamic taste. Not spicy,5,dynamic taste  not spicy,dynamic taste not spicy,[]
"Love the flavor, just the right amount of kick",5,love the flavor  just the right amount of kick,love the flavor just the right amount of kick,[]
"Nice flavor,almonds are fresh don't break your teeth.",5,nice flavor almonds are fresh don t break your teeth ,nice flavor almonds are fresh don t break your teeth,[]
"I bought a can of these just to try the different flavors. I am a bit confused as to how almonds can taste like corn, but they do! Sorcery!Good flavor, bought a second can along with a few more flavors.",5,i bought a can of these just to try the different flavors  i am a bit confused as to how almonds can taste like corn  but they do  sorcery good flavor  bought a second can along with a few more flavors ,i bought a can of these just to try the different flavors i am a bit confused as to how almonds can taste like corn but they do sorcery good flavor bought a second can along with a few more flavors,[]
"I was expecting them to be hotter, given that they are called Carolina reaper. However, they are hot enough and taste really good.",4,i was expecting them to be hotter  given that they are called carolina reaper  however  they are hot enough and taste really good ,i was expecting them to be hotter given that they are called carolina reaper however they are hot enough and taste really good,[]
always fresh with great taste.,5,always fresh with great taste ,always fresh with great taste,[]
I would just get the regular ones. The flavor combination sounds good but makes my stomach hurt. I only tried eating one bad.,1,i would just get the regular ones  the flavor combination sounds good but makes my stomach hurt  i only tried eating one bad ,i would just get the regular ones the flavor combination sounds good but makes my stomach hurt i only tried eating one bad,[]
Love them theyâ€™re just getting too expensive.,4,love them they   re just getting too expensive ,love them they re just getting too expensive,[]
I've tried different kinds of ranch seeds and DAVID seeds are by far the best!,5,i ve tried different kinds of ranch seeds and david seeds are by far the best ,i ve tried different kinds of ranch seeds and david seeds are by far the best,[]
the best for play baseball or softball,5,the best for play baseball or softball,the best for play baseball or softball,[]
These taste really good.  The only reason I didn't give 5 stars is because there are way to many empty and broken shells.,4,these taste really good   the only reason i didn t give  stars is because there are way to many empty and broken shells ,these taste really good the only reason i didn t give stars is because there are way to many empty and broken shells,[]
I purchased this box twice or more before that they were good one or two packages stale but this box the entire box was full of soft sunflower seeds gross. Hesitant to purchase them again.,1,i purchased this box twice or more before that they were good one or two packages stale but this box the entire box was full of soft sunflower seeds gross  hesitant to purchase them again ,i purchased this box twice or more before that they were good one or two packages stale but this box the entire box was full of soft sunflower seeds gross hesitant to purchase them again,[]
I donâ€™t like the flavor. But it is just me.,3,i don   t like the flavor  but it is just me ,i don t like the flavor but it is just me,[]
Pass the time,5,pass the time,pass the time,[]
"I eat a lot of seeds, and I generally pay more attention to price than brand. I buy the bulk 12-bag-boxes for the discount prices, and I've gone through several orders of David's by now. I have never encountered a bad bag of David's seeds. I find both David's normal seeds and Jumbo seeds to both be consistently excellent.I like salt, and I find David's ""salted"" version to be well salted. I'm happy. However if take makes you worry whether these may be too salty for you, then yeah, you should probably look for the ""lightly salted"" version instead.",5,i eat a lot of seeds  and i generally pay more attention to price than brand  i buy the bulk  bag boxes for the discount prices  and i ve gone through several orders of david s by now  i have never encountered a bad bag of david s seeds  i find both david s normal seeds and jumbo seeds to both be consistently excellent i like salt  and i find david s  salted  version to be well salted  i m happy  however if take makes you worry whether these may be too salty for you  then yeah  you should probably look for the  lightly salted  version instead ,i eat a lot of seeds and i generally pay more attention to price than brand i buy the bulk bag boxes for the discount prices and i ve gone through several orders of david s by now i have never encountered a bad bag of david s seeds i find both david s normal seeds and jumbo seeds to both be consistently excellent i like salt and i find david s salted version to be well salted i m happy however if take makes you worry whether these may be too salty for you then yeah you should probably look for the lightly salted version instead,[]
"First time eating these and I believe they are stale. Very rubbery,",2,first time eating these and i believe they are stale  very rubbery ,first time eating these and i believe they are stale very rubbery,[]
"The flavor was excellent but the chip itself seemed a bit stale by the time it got to me, my coworkers thoroughly enjoyed them as snacks though",3,the flavor was excellent but the chip itself seemed a bit stale by the time it got to me  my coworkers thoroughly enjoyed them as snacks though,the flavor was excellent but the chip itself seemed a bit stale by the time it got to me my coworkers thoroughly enjoyed them as snacks though,[]
90% of the bags of chips in this box were stale. As i came across the stale bags i obviously did not eat them. dont waste your money.,2,  of the bags of chips in this box were stale  as i came across the stale bags i obviously did not eat them  dont waste your money ,of the bags of chips in this box were stale as i came across the stale bags i obviously did not eat them dont waste your money,[]
Overall super nice taste and lite snack. Really enjoy the variety pack.,5,overall super nice taste and lite snack  really enjoy the variety pack ,overall super nice taste and lite snack really enjoy the variety pack,[]
Two of the chip bags came compromised. Rest of the bags were good.,3,two of the chip bags came compromised  rest of the bags were good ,two of the chip bags came compromised rest of the bags were good,[]
We really like these. Nice and lunch and seems healthier than other snacks.,5,we really like these  nice and lunch and seems healthier than other snacks ,we really like these nice and lunch and seems healthier than other snacks,[]
They where all accounted for and in good condition,5,they where all accounted for and in good condition,they where all accounted for and in good condition,[]
Delicious!!!!!,5,delicious     ,delicious,[]
I love this popcorn. Theyâ€™re so fresh n tasty and I was very excited to receive my package.,5,i love this popcorn  they   re so fresh n tasty and i was very excited to receive my package ,i love this popcorn they re so fresh n tasty and i was very excited to receive my package,[]
I love these! Great alternative to chips!,5,i love these  great alternative to chips ,i love these great alternative to chips,[]
My son has sensory issuesHe loved this project it was super fun I recommend it,5,my son has sensory issueshe loved this project it was super fun i recommend it,my son has sensory issueshe loved this project it was super fun i recommend it,[]
My 11 year old loved this!!! She could do it all on her own (thatâ€™s a plus).  I will order this again.,5,my  year old loved this    she could do it all on her own  that   s a plus    i will order this again ,my year old loved this she could do it all on her own that s a plus i will order this again,[]
"As an adult, I love Popin'Cookin' kits because I have to work for my snack. Less guilt that way and lots of fun! This is a very flavorful kit! All you need is water and some patience. The Ramen kit is in my Top 3 favorite flavored kits. I, also, like the amount of candy this kit makes.",5,as an adult  i love popin cookin  kits because i have to work for my snack  less guilt that way and lots of fun  this is a very flavorful kit  all you need is water and some patience  the ramen kit is in my top  favorite flavored kits  i  also  like the amount of candy this kit makes ,as an adult i love popin cookin kits because i have to work for my snack less guilt that way and lots of fun this is a very flavorful kit all you need is water and some patience the ramen kit is in my top favorite flavored kits i also like the amount of candy this kit makes,[]
"The ""dough"" powder that you're supposed to make into dough was too sticky. Stuck more on my fingers than it did the clamp thing. Plus the Ramen juice and noodles (which also didn't take correctly) were disgusting. I give it 3 stars cause it's not the sellers fault that the manufacturer made their product this way.",3,the  dough  powder that you re supposed to make into dough was too sticky  stuck more on my fingers than it did the clamp thing  plus the ramen juice and noodles  which also didn t take correctly  were disgusting  i give it  stars cause it s not the sellers fault that the manufacturer made their product this way ,the dough powder that you re supposed to make into dough was too sticky stuck more on my fingers than it did the clamp thing plus the ramen juice and noodles which also didn t take correctly were disgusting i give it stars cause it s not the sellers fault that the manufacturer made their product this way,[]
Used to set came out well,5,used to set came out well,used to set came out well,[]
Really cute and fun but as far as an eating it it's disgusting,2,really cute and fun but as far as an eating it it s disgusting,really cute and fun but as far as an eating it it s disgusting,[]
Opened the box. Didn't think it was all going to work how it did but everything came together. Pre-teen liked figuring out how to make everything (not easy but not impossible on a couple of the steps) my toddler liked picking it apart. Not super tasty but not boring.,4,opened the box  didn t think it was all going to work how it did but everything came together  pre teen liked figuring out how to make everything  not easy but not impossible on a couple of the steps  my toddler liked picking it apart  not super tasty but not boring ,opened the box didn t think it was all going to work how it did but everything came together pre teen liked figuring out how to make everything not easy but not impossible on a couple of the steps my toddler liked picking it apart not super tasty but not boring,[]
Garbage,1,garbage,garbage,[]
I love to buy these and make them with the kids.,5,i love to buy these and make them with the kids ,i love to buy these and make them with the kids,[]
I LOVE toys and candy that are fun activities too! Thank you for having instructions in english! They were very easy to follow. Would be better if a pipette or syringe was provided to be able to poor water in the dishes easier.,5,i love toys and candy that are fun activities too  thank you for having instructions in english  they were very easy to follow  would be better if a pipette or syringe was provided to be able to poor water in the dishes easier ,i love toys and candy that are fun activities too thank you for having instructions in english they were very easy to follow would be better if a pipette or syringe was provided to be able to poor water in the dishes easier,[]
Excellent gum. Excellent price. What more can I say? I also like the container. Makes it easy to get the gum and keep the rest fresh.,5,excellent gum  excellent price  what more can i say  i also like the container  makes it easy to get the gum and keep the rest fresh ,excellent gum excellent price what more can i say i also like the container makes it easy to get the gum and keep the rest fresh,[]
"You think you're getting more because it's more pieces, but you need twice as much because they're smaller. Also the flavor is lame and doesn't last.",2,you think you re getting more because it s more pieces  but you need twice as much because they re smaller  also the flavor is lame and doesn t last ,you think you re getting more because it s more pieces but you need twice as much because they re smaller also the flavor is lame and doesn t last,[]
"As expected, tasty gum in an economical pack!",4,as expected  tasty gum in an economical pack ,as expected tasty gum in an economical pack,[]
